Country Name,3,value
Aruba,1980,
Africa Eastern and Southern,1980,170656000000.0
Afghanistan,1980,3641723322.0
Africa Western and Central,1980,112031000000.0
Angola,1980,5930503401.0
Albania,1980,
Andorra,1980,446416105.8
Arab World,1980,459810000000.0
United Arab Emirates,1980,43598748449.0
Argentina,1980,76961923741.0
Armenia,1980,
American Samoa,1980,
Antigua and Barbuda,1980,131431026.7
Australia,1980,149984000000.0
Austria,1980,82058912997.0
Azerbaijan,1980,
Burundi,1980,919726666.7
Belgium,1980,126829000000.0
Benin,1980,1405251547.0
Burkina Faso,1980,1928719477.0
Bangladesh,1980,18138049096.0
Bulgaria,1980,19839230769.0
Bahrain,1980,3072698328.0
"Bahamas, The",1980,1335300000.0
Bosnia and Herzegovina,1980,
Belarus,1980,
Belize,1980,197938222.4
Bermuda,1980,613299968.0
Bolivia,1980,4537487803.0
Brazil,1980,237393000000.0
Barbados,1980,1012280615.0
Brunei Darussalam,1980,4928824958.0
Bhutan,1980,128717410.9
Botswana,1980,1060923829.0
Central African Republic,1980,797048028.8
Canada,1980,273854000000.0
Central Europe and the Baltics,1980,
Switzerland,1980,122661000000.0
Channel Islands,1980,
Chile,1980,29036709872.0
China,1980,191149000000.0
Cote d'Ivoire,1980,10175615442.0
Cameroon,1980,6674567625.0
"Congo, Dem. Rep.",1980,14394927495.0
"Congo, Rep.",1980,1705796850.0
Colombia,1980,33400735644.0
Comoros,1980,212218226.4
Cabo Verde,1980,142246875.5
Costa Rica,1980,4831447001.0
Caribbean small states,1980,13495267730.0
Cuba,1980,19912889861.0
Curacao,1980,
Cayman Islands,1980,
Cyprus,1980,2154311277.0
Czechia,1980,
Germany,1980,950291000000.0
Djibouti,1980,
Dominica,1980,72804653.33
Denmark,1980,71127528700.0
Dominican Republic,1980,6761300000.0
Algeria,1980,42346380831.0
East Asia & Pacific (excluding high income),1980,378129000000.0
Early-demographic dividend,1980,1334650000000.0
East Asia & Pacific,1980,1815970000000.0
Europe & Central Asia (excluding high income),1980,
Europe & Central Asia,1980,4600280000000.0
Ecuador,1980,17881514683.0
"Egypt, Arab Rep.",1980,21669908176.0
Euro area,1980,2962180000000.0
Eritrea,1980,
Spain,1980,232767000000.0
Estonia,1980,
Ethiopia,1980,
European Union,1980,3303150000000.0
Fragile and conflict affected situations,1980,349166000000.0
Finland,1980,53645202423.0
Fiji,1980,1202567359.0
France,1980,701288000000.0
Faroe Islands,1980,
"Micronesia, Fed. Sts.",1980,
Gabon,1980,4279637934.0
United Kingdom,1980,564948000000.0
Georgia,1980,
Ghana,1980,4445228216.0
Gibraltar,1980,
Guinea,1980,
"Gambia, The",1980,241080708.9
Guinea-Bissau,1980,110653830.7
Equatorial Guinea,1980,50642880.77
Greece,1980,56829664269.0
Grenada,1980,110900457.0
Greenland,1980,476055288.4
Guatemala,1980,7878700000.0
Guam,1980,
Guyana,1980,603200000.0
High income,1980,8961140000000.0
"Hong Kong SAR, China",1980,28861759209.0
Honduras,1980,3968160046.0
Heavily indebted poor countries (HIPC),1980,110425000000.0
Croatia,1980,
Haiti,1980,1383800000.0
Hungary,1980,
IBRD only,1980,2350820000000.0
IDA & IBRD total,1980,2624810000000.0
IDA total,1980,271292000000.0
IDA blend,1980,126263000000.0
Indonesia,1980,72482337371.0
IDA only,1980,145924000000.0
Isle of Man,1980,
India,1980,186325000000.0
Not classified,1980,
Ireland,1980,21747855640.0
"Iran, Islamic Rep.",1980,94362275580.0
Iraq,1980,52569000000.0
Iceland,1980,3381419251.0
Israel,1980,
Italy,1980,477257000000.0
Jamaica,1980,2679409453.0
Jordan,1980,3910372608.0
Japan,1980,1105390000000.0
Kazakhstan,1980,
Kenya,1980,7265315332.0
Kyrgyz Republic,1980,
Cambodia,1980,
Kiribati,1980,42131632.89
St. Kitts and Nevis,1980,68459259.26
"Korea, Rep.",1980,65398646758.0
Kuwait,1980,28638550499.0
Latin America & Caribbean (excluding high income),1980,653102000000.0
Lao PDR,1980,
Lebanon,1980,
Liberia,1980,
